species,site,sum,mean
Cephalopholis_fulva,Dark_Slime,0.000,0
Rypticus_saponaceus,Dark_Slime,0.016,0.015503876
Stegastes_variabilis,Dark_Slime,0.000,0
Haemulon_flavolineatum,Dark_Slime,0.000,0
Hemipteronotus_sp,Dark_Slime,0.000,0
Melichthys_niger,Dark_Slime,0.000,0
Holocanthus_tricolor,Dark_Slime,0.000,0
Chromis_cyanea,Dark_Slime,0.000,0
Sphoeroides_spengleri,Dark_Slime,0.000,0
Bodianus_rufus,Dark_Slime,0.000,0
Halichoeres_radiatus,Dark_Slime,0.000,0
Acanthurus_chirurgus,Dark_Slime,0.000,0
Stegastes_partitus,Dark_Slime,0.000,0
Chaetodon_ocellatus,Dark_Slime,0.016,0.015503876
Gymnothorax_funerbris,Dark_Slime,0.008,0.007751938
Thalossoma_bifasciatum,Dark_Slime,0.000,0
Chromis_bermudae,Reel_Sticky,0.409,0.405405405
Chromis_insolata,Reel_Sticky,0.009,0.009009009
Paranthia_furcifer,Reel_Sticky,0.009,0.009009009
Chaetodon_sedentarius,Reel_Sticky,0.164,0.162162162
Sparisoma_aurofrenatum,Reel_Sticky,0.173,0.171171171
Coryphopterus_sp,Reel_Sticky,0.036,0.036036036
Canthigaster_rostrata,Reel_Sticky,0.018,0.018018018
Halichoeres_garnoti,Reel_Sticky,0.018,0.018018018
Centropyge_argi,Reel_Sticky,0.000,0
Apogon_sp,Reel_Sticky,0.045,0.045045045
Bodianus_pulchellus,Reel_Sticky,0.027,0.027027027
Scarus_taeniopterus,Reel_Sticky,0.000,0
Cephalopholis_fulva,Reel_Sticky,0.018,0.018018018
Rypticus_saponaceus,Reel_Sticky,0.000,0
Stegastes_variabilis,Reel_Sticky,0.000,0
Haemulon_flavolineatum,Reel_Sticky,0.000,0
Hemipteronotus_sp,Reel_Sticky,0.000,0
Melichthys_niger,Reel_Sticky,0.064,0.063063063
Holocanthus_tricolor,Reel_Sticky,0.000,0
Chromis_cyanea,Reel_Sticky,0.000,0
Sphoeroides_spengleri,Reel_Sticky,0.000,0
Bodianus_rufus,Reel_Sticky,0.009,0.009009009
Halichoeres_radiatus,Reel_Sticky,0.000,0
Acanthurus_chirurgus,Reel_Sticky,0.000,0
Stegastes_partitus,Reel_Sticky,0.000,0
Chaetodon_ocellatus,Reel_Sticky,0.000,0
Gymnothorax_funerbris,Reel_Sticky,0.000,0
Thalossoma_bifasciatum,Reel_Sticky,0.000,0
Chromis_bermudae,Angel,0.000,0
Chromis_insolata,Angel,0.526,0.526315789
Paranthia_furcifer,Angel,0.000,0
Chaetodon_sedentarius,Angel,0.211,0.210526316
Sparisoma_aurofrenatum,Angel,0.000,0
Coryphopterus_sp,Angel,0.000,0
Canthigaster_rostrata,Angel,0.026,0.026315789
Halichoeres_garnoti,Angel,0.026,0.026315789
Centropyge_argi,Angel,0.000,0
Apogon_sp,Angel,0.000,0
Bodianus_pulchellus,Angel,0.132,0.131578947
Scarus_taeniopterus,Angel,0.000,0
Cephalopholis_fulva,Angel,0.000,0
Rypticus_saponaceus,Angel,0.000,0
Stegastes_variabilis,Angel,0.000,0
Haemulon_flavolineatum,Angel,0.053,0.052631579
Hemipteronotus_sp,Angel,0.000,0
Melichthys_niger,Angel,0.000,0
Holocanthus_tricolor,Angel,0.000,0
Chromis_cyanea,Angel,0.000,0
Sphoeroides_spengleri,Angel,0.000,0
Bodianus_rufus,Angel,0.000,0
Halichoeres_radiatus,Angel,0.000,0
Acanthurus_chirurgus,Angel,0.000,0
Stegastes_partitus,Angel,0.000,0
Chaetodon_ocellatus,Angel,0.000,0
Gymnothorax_funerbris,Angel,0.000,0
Thalossoma_bifasciatum,Angel,0.026,0
Chromis_bermudae,N_Rock,0.303,0.303030303
